Date : 2025-01-02 19:33:25
Directory : j:\razer-shop-page
Total : 101 files,  8934 codes, 12 comments, 514 blanks, all 9460 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| j:\razer-shop-page\components\Module\MultiPanel\multiPanelStyle.module.css | CSS                |         34 |          0 |          5 |         39 |
| j:\razer-shop-page\components\Module\Signin\Signin.js                      | JavaScript         |         94 |          0 |          5 |         99 |
| j:\razer-shop-page\components\Module\Signin\signin.module.css              | CSS                |         50 |          0 |         10 |         60 |
| j:\razer-shop-page\components\Module\Slider\Slider.js                      | JavaScript         |         50 |          0 |          5 |         55 |
| j:\razer-shop-page\components\Module\Slider\sliderStyle.module.css         | CSS                |         53 |          0 |         13 |         66 |
| j:\razer-shop-page\components\Module\Store\Store.js                        | JavaScript         |         16 |          0 |          4 |         20 |
| j:\razer-shop-page\components\Module\Store\storeStyle.module.css           | CSS                |         21 |          0 |          5 |         26 |
| j:\razer-shop-page\components\Module\TileSlider\TileSlider.js              | JavaScript         |         64 |          0 |          6 |         70 |
| j:\razer-shop-page\components\Module\TileSlider\TileSliderStyle.module.css | CSS                |         92 |          0 |         16 |        108 |
| j:\razer-shop-page\components\Module\Wrapper\Wrapper.js                    | JavaScript         |         74 |          0 |          9 |         83 |
| j:\razer-shop-page\components\Module\Wrapper\wrapperStyle.module.css       | CSS                |         56 |          0 |          8 |         64 |
| j:\razer-shop-page\components\Template\Dashboard.js                        | JavaScript         |          7 |          0 |          2 |          9 |
| j:\razer-shop-page\components\Template\Login.js                            | JavaScript         |         14 |          0 |          4 |         18 |
| j:\razer-shop-page\components\Template\Shop.js                             | JavaScript         |         61 |          0 |          7 |         68 |
| j:\razer-shop-page\components\Template\login.module.css                    | CSS                |          9 |          0 |          2 |         11 |
| j:\razer-shop-page\components\layout\CartDisplay.js                        | JavaScript         |        224 |          0 |          4 |        228 |
| j:\razer-shop-page\components\layout\Footer.js                             | JavaScript         |        276 |          5 |          6 |        287 |
| j:\razer-shop-page\components\layout\Header.js                             | JavaScript         |         50 |          0 |          4 |         54 |
| j:\razer-shop-page\components\layout\Layout.js                             | JavaScript         |         14 |          0 |          3 |         17 |
| j:\razer-shop-page\components\layout\cartDisplay.module.css                | CSS                |         95 |          0 |         18 |        113 |
| j:\razer-shop-page\components\layout\footerMobileStyle.module.css          | CSS                |        130 |          0 |         26 |        156 |
| j:\razer-shop-page\components\layout\footerStyle.module.css                | CSS                |        187 |          0 |         48 |        235 |
| j:\razer-shop-page\components\layout\headerStyle.module.css                | CSS                |        113 |          1 |         21 |        135 |
| j:\razer-shop-page\components\loginLayout\Footer.js                        | JavaScript         |        105 |          0 |          3 |        108 |
| j:\razer-shop-page\components\loginLayout\FooterStyle.module.css           | CSS                |         58 |          0 |         12 |         70 |
| j:\razer-shop-page\components\loginLayout\Header.js                        | JavaScript         |         20 |          0 |          3 |         23 |
| j:\razer-shop-page\components\loginLayout\HeaderStyle.module.css           | CSS                |         34 |          0 |          5 |         39 |
| j:\razer-shop-page\components\loginLayout\layout.js                        | JavaScript         |         12 |          0 |          3 |         15 |
| j:\razer-shop-page\helper\helper.js                                        | JavaScript         |         15 |          0 |          4 |         19 |
| j:\razer-shop-page\jsconfig.json                                           | JSON with Comments |          7 |          0 |          1 |          8 |
| j:\razer-shop-page\lib\reducer.js                                          | JavaScript         |         17 |          0 |          3 |         20 |
| j:\razer-shop-page\next.config.mjs                                         | JavaScript         |         14 |          1 |          2 |         17 |
| j:\razer-shop-page\package-lock.json                                       | JSON               |      5,100 |          0 |          1 |      5,101 |
| j:\razer-shop-page\package.json                                            | JSON               |         32 |          0 |          1 |         33 |
| j:\razer-shop-page\pages\_app.js                                           | JavaScript         |         10 |          0 |          2 |         12 |
| j:\razer-shop-page\pages\_document.js                                      | JavaScript         |         13 |          0 |          2 |         15 |
| j:\razer-shop-page\pages\api\auth.js                                       | JavaScript         |         36 |          0 |          5 |         41 |
| j:\razer-shop-page\pages\api\logout.js                                     | JavaScript         |         11 |          0 |          3 |         14 |
| j:\razer-shop-page\pages\dashboard\index.js                                | JavaScript         |          5 |          0 |          3 |          8 |
| j:\razer-shop-page\pages\index.js                                          | JavaScript         |          3 |          0 |          1 |          4 |
| j:\razer-shop-page\pages\login\index.js                                    | JavaScript         |         18 |          0 |          6 |         24 |
| j:\razer-shop-page\pages\shop\index.js                                     | JavaScript         |         21 |          0 |          5 |         26 |
| j:\razer-shop-page\pages\signin\index.js                                   | JavaScript         |          6 |          0 |          3 |          9 |
| j:\razer-shop-page\public\Icons\Globe_icon.svg                             | XML                |          8 |          0 |          0 |          8 |
| j:\razer-shop-page\public\Icons\buynow-paylater-icon.svg                   | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\cart\account-icon.svg                      | XML                |         10 |          0 |          1 |         11 |
| j:\razer-shop-page\public\Icons\cart\cart_icon.svg                         | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\cart\orders_icon.svg                       | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\cart\razerstore_icon.svg                   | XML                |         10 |          0 |          1 |         11 |
| j:\razer-shop-page\public\Icons\cart\signin_icon.svg                       | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\discord.svg                                | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\exclusives-icon.svg                        | XML                |         19 |          0 |          2 |         21 |
| j:\razer-shop-page\public\Icons\facebook.svg                               | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\first-dibs-icon.svg                        | XML                |         16 |          0 |          1 |         17 |
| j:\razer-shop-page\public\Icons\insider.svg                                | XML                |          4 |          0 |          1 |          5 |
| j:\razer-shop-page\public\Icons\instagram.svg                              | XML                |         18 |          0 |          1 |         19 |
| j:\razer-shop-page\public\Icons\largest-array-icon.svg                     | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\login.svg                                  | XML                |         20 |          1 |          0 |         21 |
| j:\razer-shop-page\public\Icons\razer-logo.svg                             | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\search.svg                                 | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\shopping-cart.svg                          | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\threads.svg                                | XML                |         13 |          0 |          0 |         13 |
| j:\razer-shop-page\public\Icons\tiktok.svg                                 | XML                |         14 |          0 |          1 |         15 |
| j:\razer-shop-page\public\Icons\twitch.svg                                 | XML                |         18 |          0 |          1 |         19 |
| j:\razer-shop-page\public\Icons\twitter.svg                                | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\Icons\youtube.svg                                | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\logos\apple.svg                                  | XML                |          3 |          0 |          1 |          4 |
| j:\razer-shop-page\public\logos\facebook.svg                               | XML                |         11 |          0 |          1 |         12 |
| j:\razer-shop-page\public\logos\google.svg                                 | XML                |          6 |          0 |          1 |          7 |
| j:\razer-shop-page\public\logos\twitch.svg                                 | XML                |          6 |          0 |          1 |          7 |
| j:\razer-shop-page\public\logos\wechat.svg                                 | XML                |          4 |          0 |          1 |          5 |
| j:\razer-shop-page\public\next.svg                                         | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\public\vercel.svg                                       | XML                |          1 |          0 |          0 |          1 |
| j:\razer-shop-page\services\api.js                                         | JavaScript         |         12 |          0 |          4 |         16 |
| j:\razer-shop-page\services\replaceNumber.js                               | JavaScript         |         14 |          0 |          4 |         18 |
| j:\razer-shop-page\styles\Home.module.css                                  | CSS                |        195 |          3 |         32 |        230 |
| j:\razer-shop-page\styles\fonts.css                                        | CSS                |         13 |          0 |          2 |         15 |
| j:\razer-shop-page\styles\globals.css                                      | CSS                |         17 |          0 |          4 |         21 |
| j:\razer-shop-page\styles\shopStyle.module.css                             | CSS                |          4 |          0 |          0 |          4 |
| Total                                                                      |                    |      8,934 |         12 |        514 |      9,460 |
+----------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
